PMID	sentence	sentiment
32346491	Experimental Treatment with Favipiravir for COVID-19: An Open-Label Control Study.	0.17264746904373168
32346491	Herein, we examined the effects of favipiravir (FPV) versus lopinavir (LPV)/ritonavir (RTV) for the treatment of COVID-19.	0.07979999184608459
33130203	Role of favipiravir in the treatment of COVID-19.	0.14991137981414795
33130203	Favipiravir is one such oral drug that was approved for new and reemerging pandemic influenza in Japan in 2014 and has shown potent in vitro activity against severe acute respiratory syndrome coronavirus-2.	0.3032419770180095
33130203	This review provides insights into the evidence-based evolving role of favipiravir in the management of COVID-19 infection with emphasis on benefits of initiating an early antiviral therapy with special focus on favipiravir, its pharmacodynamic, pharmacokinetic, in vitro, clinical data, and inclusion in the treatment protocols of COVID-19.	0.5223045094980512
32475019	Pharmacokinetics of Favipiravir in Critically Ill Patients With COVID-19.	-0.25101973302364344
32336586	There are currently no therapeutic drugs available that are directly active against SARS-CoV-2; however, several antivirals (remdesivir, favipiravir) and antimalarials (chloroquine, hydroxychloroquine) have emerged as potential therapies.	-0.07226006310780841
32394467	currently, appropriate treatment for patients with COVID-19 is an ACE2 inhibitor and a clinical problem reducing agent such as favipiravir in addition to hydroxychloroquine and corticosteroids.	0.05765368951320647
32425246	The only Food and Drug Administration-approved drug to treat COVID-19 is remdesivir, and other off-label medications used include chloroquine and hydroxychloroquine, tocilizumab, lopinavir/ritonavir, favipiravir, convalescent plasma therapy, azithromycin, vitamin C, corticosteroids, interferon, and colchicine.	0.07885621726036074
32360480	Further, chloroquine and hydroxychloroquine, and off-label antiviral drugs, such as the nucleotide analogue remdesivir, HIV protease inhibitors lopinavir and ritonavir, broad-spectrum antiviral drugs arbidol and favipiravir as well as antiviral phytochemicals available to date may limit spread of SARS-CoV-2 and morbidity and mortality of COVID-19 pandemic.	-0.0526922923262914
32514228	Certain drugs that are clinically approved for other diseases were tested against COVID-19 as chloroquine, hydroxychloroquine, ivermectin, favipiravir, ribavirin, and remdesivir.	0.12374119187627522
32307245	The other excellent anti-influenza RdRp inhibitor favipiravir is also being clinically evaluated for its efficacy in COVID-19 patients.	0.559629342470169
32405421	A review of the safety of favipiravir - a potential treatment in the COVID-19 pandemic?	0.08309194035530089
32405421	Favipiravir is an antiviral previously indicated for influenza and Ebola, which has shown some promise in early trials for treatment of COVID-19.	0.261391897743543
32405421	We aim to review existing favipiravir safety evidence, which is vital to informing the potential future use of favipiravir in COVID-19.	0.415100925265948
32405421	Given the limitations of the evidence and unresolved safety concerns, caution is warranted in the widespread use of favipiravir against pandemic COVID-19.	0.2921848136901855
32958718	A Prospective, Randomized, Open-Label Trial of Early versus Late Favipiravir Therapy in Hospitalized Patients with COVID-19.	0.09098531723022461
32958718	We conducted a prospective, randomized, open-label, multicenter trial of favipiravir for the treatment of COVID-19 at 25 hospitals across Japan.	0.11943307220935821
33176367	Favipiravir and COVID-19: A Simplified Summary.	-0.13240840137004853
33176367	In view of recent studies and discussion on favipiravir, in this mini review we aimed to summarize the clinical trials studying the efficacy and safety of favipiravir in patients with COVID-19.	0.07435482330322264
32895599	Favipiravir: A new and emerging antiviral option in COVID-19.	0.20791432126001877
33031623	Tackling COVID-19 Using Remdesivir and Favipiravir as Therapeutic Options.	-0.1453547090291977
33031623	The therapeutic effects of two drugs [i. e., remdesivir (RDV) and favipiravir (FPV)] which can potentially tackle COVID-19 are discussed based on current published data.	-0.08598182201385497
32737100	Favipiravir for treating patients with novel coronavirus (COVID-19): protocol for a systematic review and meta-analysis of randomised clinical trials.	0.2850705269432068
32737100	This systematic review and meta-analysis will evaluate studies of the effects of favipiravir in COVID-19 pneumonia.	0.14397321045398712
32737100	We will search electronic databases including LitCovid hub, PubMed, Scopus, ISI Web of Sciences, Cochrane and Embase using keywords related to COVID-19 and favipiravir.	0.1205969363451004
32737100	All randomised clinical trials investigating the safety and efficacy of favipiravir compared with other control groups for the treatment of patients with confirmed infection with SARS-CoV-2 will be included.	0.3773492122411728
32737100	All findings of this systematic review and meta-analysis will help identify the safety and efficacy of favipiravir for patients with COVID-19.	0.4344325312614441
32967849	Favipiravir and the Need for Early Ambulatory Treatment of SARS-CoV-2 Infection (COVID-19).	0.18420517027378083
32967849	In this issue of the Journal, Doi and colleagues describe successful treatment of patients with early COVID-19 with favipiravir, an oral polymerase inhibitor, to rapidly and substantially clear SARS-CoV-2 from nasal secretions irrespective if it was started relatively early or later within the first week of infection.	0.5601627680667242
32967849	These data support the concept that favipiravir could be paired with at least one more off-target antiviral agent (doxycycline, azithromycin, or ivermectin) followed by corticosteroids and antithrombotics to prevent COVID-19 hospitalization and death in those over age 50 and/or those with one or more comorbidities.	-0.15345384258588154
32889701	Number of drugs such as remdesivir, favipiravir, ribavirin, lopinavir, ritonavir, darunavir, arbidol, chloroquine, hydroxychloroquine, tocilizumab and interferons have shown inhibitory effects against the SARS-CoV2 in-vitro as well as in clinical conditions.	0.12668395253181458
32293834	The most frequently used agents both in Turkey and all over the world including chloroquine, hydroxychloroquine, lopinavir/ritonavir, favipiravir and remdesivir will be reviewed here .Nitazoxanide and ivermectin were also included in this review as they have recently been reported to have an activity against SARS-CoV-2 in vitro and are licensed for the treatment of some other human infections.	0.18902075266838073
33041712	Though data are limited, antiviral therapies such as remdesivir, favipiravir, lopinavir/ritonavir, and other drugs like hydroxychloroquine/chloroquine have been used for severe COVID-19 cases, with remdesivir showing the greatest promise.	0.5147343950680324
32711596	Interactions Between Remdesivir, Ribavirin, Favipiravir, Galidesivir, Hydroxychloroquine and Chloroquine with Fragment Molecular of the COVID-19 Main Protease with Inhibitor N3 Complex (PDB ID:6LU7) Using Molecular Docking.	0.05937213538328806
32711596	We started a study on the molecular docking of six potential pharmacologically active inhibitors compounds that can be used clinically against the COVID-19 virus, in this case, remdesivir, ribavirin, favipiravir, galidesivir, hydroxychloroquine and chloroquine interacting with the main COVID-19 protease in complex with a COVID-19 N3 protease inhibitor.	0.11890541505972545
32246834	Favipiravir: Pharmacokinetics and Concerns About Clinical Trials for 2019-nCoV Infection.	0.09952452778816223
32409433	Antivirals to treat influenza (oseltamivir) have limited activity against SARS-CoV-2, but favipiravir and umifenovir, two influenza antivirals available internationally, may have distinct viral targets and require further investigation.	-0.027957176042284274
