PMID	sentence	sentiment
32295814	Hydroxychloroquine and COVID-19.	0.07621623873710633
32492293	A Randomized Trial of Hydroxychloroquine as Postexposure Prophylaxis for Covid-19.	-0.1435915231704712
32492293	Whether hydroxychloroquine can prevent symptomatic infection after SARS-CoV-2 exposure is unknown.	-0.18057723680496215
32492293	The incidence of new illness compatible with Covid-19 did not differ significantly between participants receiving hydroxychloroquine (49 of 414 [11.8%]) and those receiving placebo (58 of 407 [14.3%]); the absolute difference was -2.4 percentage points (95% confidence interval, -7.0 to 2.2; P = 0.35).	0.01586861994887842
32492293	After high-risk or moderate-risk exposure to Covid-19, hydroxychloroquine did not prevent illness compatible with Covid-19 or confirmed infection when used as postexposure prophylaxis within 4 days after exposure.	0.1442715199184418
32706953	Hydroxychloroquine with or without Azithromycin in Mild-to-Moderate Covid-19.	-0.13974359929561614
32706953	Hydroxychloroquine and azithromycin have been used to treat patients with coronavirus disease 2019 (Covid-19).	0.3189133686971664
32706953	Among patients hospitalized with mild-to-moderate Covid-19, the use of hydroxychloroquine, alone or with azithromycin, did not improve clinical status at 15 days as compared with standard care.	-0.17251101267814634
32496241	Hydroxychloroquine as prophylaxis or treatment for COVID-19: What does the evidence say?	-0.1223697155714035
32496241	Hydroxychloroquine (HCQ), an antimalarial has been proposed as possible treatment for coronavirus disease-2019 (COVID-19).	0.11133823692798614
33031652	Effect of Hydroxychloroquine in Hospitalized Patients with Covid-19.	0.1345415621995926
33031652	Hydroxychloroquine and chloroquine have been proposed as treatments for coronavirus disease 2019 (Covid-19) on the basis of in vitro activity and data from uncontrolled studies and small, randomized trials.	-0.12610112130641937
33031652	In this randomized, controlled, open-label platform trial comparing a range of possible treatments with usual care in patients hospitalized with Covid-19, we randomly assigned 1561 patients to receive hydroxychloroquine and 3155 to receive usual care.	0.11961460352420804
33031652	Among patients hospitalized with Covid-19, those who received hydroxychloroquine did not have a lower incidence of death at 28 days than those who received usual care.	-0.23392884345054626
32392282	Association of Treatment With Hydroxychloroquine or Azithromycin With In-Hospital Mortality in Patients With COVID-19 in New York State.	0.14502833052115005
32392282	Hydroxychloroquine, with or without azithromycin, has been considered as a possible therapeutic agent for patients with coronavirus disease 2019 (COVID-19).	0.13701729476451874
32392282	To describe the association between use of hydroxychloroquine, with or without azithromycin, and clinical outcomes among hospital inpatients diagnosed with COVID-19.	0.14421267807483673
32392282	Among 1438 hospitalized patients with a diagnosis of COVID-19 (858 [59.7%] male, median age, 63 years), those receiving hydroxychloroquine, azithromycin, or both were more likely than those not receiving either drug to have diabetes, respiratory rate >22/min, abnormal chest imaging findings, O2 saturation lower than 90%, and aspartate aminotransferase greater than 40 U/L.	-0.010927322092056269
32391667	[A pilot study of hydroxychloroquine in treatment of patients with moderate COVID-19].	0.1025824248790741
32391667	To evaluate the efficacy and safety of hydroxychloroquine (HCQ) in the treatment of patients with moderate coronavirus disease 2019 (COVID-19).	0.32482744045257567
32495226	Hydroxychloroquine and chloroquine in COVID-19: should they be used as standard therapy?	-0.1494879126548767
32379955	Observational Study of Hydroxychloroquine in Hospitalized Patients with Covid-19.	0.14439696371555327
32379955	Hydroxychloroquine has been widely administered to patients with Covid-19 without robust evidence supporting its use.	-0.34479986555099484
32379955	In this observational study involving patients with Covid-19 who had been admitted to the hospital, hydroxychloroquine administration was not associated with either a greatly lowered or an increased risk of the composite end point of intubation or death.	-0.08525346118450164
32379955	Randomized, controlled trials of hydroxychloroquine in patients with Covid-19 are needed.	-0.1290954977273941
32673060	Hydroxychloroquine in Nonhospitalized Adults With Early COVID-19 : A Randomized Trial.	-0.10319806754589078
32673060	To investigate whether hydroxychloroquine could reduce COVID-19 severity in adult outpatients.	-0.07980640649795531
32673060	Hydroxychloroquine did not substantially reduce symptom severity in outpatients with early, mild COVID-19.	-0.05789626399676005
32623082	Treatment with hydroxychloroquine, azithromycin, and combination in patients hospitalized with COVID-19.	0.14909891188144683
32623082	The purpose of this study was to evaluate the role of hydroxychloroquine therapy alone and in combination with azithromycin in hospitalized patients positive for COVID-19.	0.12560862002936274
32623082	In this multi-hospital assessment, when controlling for COVID-19 risk factors, treatment with hydroxychloroquine alone and in combination with azithromycin was associated with reduction in COVID-19 associated mortality.	-0.34424609354496005
32641681	Is hydroxychloroquine beneficial for COVID-19 patients?	0.03856444470405579
32205204	Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial.	-0.12111910879611969
32205204	Chloroquine and hydroxychloroquine have been found to be efficient on SARS-CoV-2, and reported to be efficient in Chinese COV-19 patients.	0.43912199899196624
32205204	French Confirmed COVID-19 patients were included in a single arm protocol from early March to March 16th, to receive 600mg of hydroxychloroquine daily and their viral load in nasopharyngeal swabs was tested daily in a hospital setting.	-0.11941240174429757
32205204	Despite its small sample size, our survey shows that hydroxychloroquine treatment is significantly associated with viral load reduction/disappearance in COVID-19 patients and its effect is reinforced by azithromycin.	0.10960054397583008
32281213	A systematic review of the prophylactic role of chloroquine and hydroxychloroquine in coronavirus disease-19 (COVID-19).	-0.0779078722000122
32281213	Different drugs for prophylaxis against COVID-19 including chloroquine (CQ) or hydroxychloroquine (HCQ) have been tried.	-0.14464284181594847
32459529	Hydroxychloroquine or Chloroquine for Treatment or Prophylaxis of COVID-19: A Living Systematic Review.	0.14572184085845946
32459529	Hydroxychloroquine and chloroquine have antiviral effects in vitro against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).	0.24263798449993135
32459529	To summarize evidence about the benefits and harms of hydroxychloroquine or chloroquine for the treatment or prophylaxis of coronavirus disease 2019 (COVID-19).	0.02873060094833374
32459529	Studies in any language reporting efficacy or safety outcomes from hydroxychloroquine or chloroquine use in any setting in adults or children with suspected COVID-19 or at risk for SARS-CoV-2 infection.	0.0785849871110916
32459529	Evidence on the benefits and harms of using hydroxychloroquine or chloroquine to treat COVID-19 is very weak and conflicting.	-0.6204638062477112
32335560	Improving the efficacy of Chloroquine and Hydroxychloroquine against SARS-CoV-2 may require Zinc additives - A better synergy for future COVID-19 clinical trials.	0.5401780215167999
32335560	More recent studies have highlighted the possibility of treating patients infected with the novel SARS-CoV-2 virus with chloroquine and hydroxychloroquine, of which mechanism of action is not completely understood.	-0.18690929304599763
32281481	Challenges and cares to promote rational use of chloroquine and hydroxychloroquine in the management of coronavirus disease 2019 (COVID-19) pandemic: a timely review.	0.45125537224292755
32281481	Due to factors such as history of prescription for other infectious diseases, availability, and relatively low cost, the use of chloroquine (CQ) and hydroxychloroquine (HCQ) has been tested in vivo and in vitro for the ability to inhibit the causative virus, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).	-0.08917192115306855
32387409	Early treatment of COVID-19 patients with hydroxychloroquine and azithromycin: A retrospective analysis of 1061 cases in Marseille, France.	0.19245977580547333
32387409	In France, the combination hydroxychloroquine (HCQ) and azithromycin (AZ) is used in the treatment of COVID-19.	0.10083163976669311
32281583	Update on use of chloroquine/hydroxychloroquine to treat coronavirus disease 2019 (COVID-19).	0.04402547013282773
32281583	Chloroquine and hydroxychloroquine have garnered considerable attention for their potential to treat coronavirus disease 2019 (COVID-19).	0.3406382359218597
32281583	Increasing evidence obtained from completed clinical studies indicates the prospects for chloroquine/hydroxychloroquine to treat COVID-19.	0.3976891809654236
32387694	Therapeutic use of chloroquine and hydroxychloroquine in COVID-19 and other viral infections: A narrative review.	0.09650855660438537
32885373	Chloroquine and Hydroxychloroquine for the Treatment of COVID-19: a Systematic Review and Meta-analysis.	0.14951365292072297
32196083	COVID-19: a recommendation to examine the effect of hydroxychloroquine in preventing infection and progression.	0.13514385679721833
32247211	Chloroquine and hydroxychloroquine in the treatment of COVID-19 with or without diabetes: A systematic search and a narrative review with a special reference to India and other developing countries.	0.37000692063944673
32247211	In view of recent studies and discussion on chloroquine and hydroxychloroquine (HCQ), we aimed to review existing literature and relevant websites regarding these drugs and COVID-19, adverse effects related to drugs, and related guidelines.	-0.01714009631633759
32232419	Use of Hydroxychloroquine and Chloroquine During the COVID-19 Pandemic: What Every Clinician Should Know.	0.14963049888610838
32227189	Rapid Reporting and Dissemination of Results and Its Consequences Regarding the Use of Hydroxychloroquine for COVID-19.	0.1491926997900009
32417708	The role of hydroxychloroquine (HCQ) in the treatment of COVID-19 is not fully known.	-0.14931857585906982
32338155	Rheumotologitsts' view on the use of hydroxychloroquine to treat COVID-19.	0.31856329571723935
32338155	Anti-malarial medicine chloroquine (CQ) and particularly its chemical analogue hydroxychloroquine (HCQ) have been recommended as promising candidate therapeutics that are now under either compassionate off-label use or clinical trials for the treatment of COVID-19 patients.	0.5557240677611033
32289548	Clinical and microbiological effect of a combination of hydroxychloroquine and azithromycin in 80 COVID-19 patients with at least a six-day follow up: A pilot observational study.	-0.040608524680137634
32344449	Finding the Dose for Hydroxychloroquine Prophylaxis for COVID-19: The Desperate Search for Effectiveness.	-0.5340134194946289
32344449	Hydroxychloroquine is an antimalarial drug being tested as a potential treatment for the novel coronavirus disease 2019 (COVID-19) pandemic caused by the severe acute respiratory syndrome coronavirus 2.	0.20477412539958953
32344449	Although the efficacy of hydroxychloroquine for COVID-19 remains uncertain, it may serve as a potential prophylactic agent especially in those at high risk, such as healthcare workers, household contacts of infected patients, and the immunocompromised.	-0.18053090755462645
32344449	Our aim was to identify possible hydroxychloroquine dosing regimens through simulation in those at high risk of infections by optimizing exposures above the in vitro generated half maximal effective concentration (EC50 ) and to help guide researchers in dose-selection for COVID-19 prophylactic studies.	0.5281912744935353
32496926	Advances in the use of chloroquine and hydroxychloroquine for the treatment of COVID-19.	0.1499850332736969
32496926	Among the drugs under investigation, anti-malarials, chloroquine (CQ) and hydroxychloroquine (HCQ), are being repurposed as treatment for COVID-19.	-0.14841925799846648
32849658	Will Hydroxychloroquine Still Be a Game-Changer for COVID-19 by Combining Azithromycin?	-0.14918627142906188
32849658	Recent small-scale clinical trials have shown promising results in the use of hydroxychloroquine, an FDA approved anti-malaria drug, for the treatment of COVID-19.	0.47593246068954465
32849658	However, large scale, randomized and double-blind clinical trials are needed to confirm the safety and efficacy of hydroxychloroquine in COVID-19 patients.	0.1549955075842993
32849658	Here, we review the progress of using hydroxychloroquine or chloroquine as anti-viral agents, failed clinical trials of chloroquine in treatment of dengue virus and influenza infection, and especially the mechanism of azithromycin in inhibiting viral replication, so as to shed light on the ongoing clinical trials and further researches of hydroxychloroquine on SARS-CoV-2 infected patients.	-0.418721731801033
32610879	Hydroxychloroquine for COVID-19: What is our Current State of Knowledge?	-0.11599393486976622
32408070	Does zinc supplementation enhance the clinical efficacy of chloroquine/hydroxychloroquine to win today's battle against COVID-19?	0.3213652618408203
32408070	The antimalarial drug chloroquine (CQ) and its metabolite hydroxychloroquine (HCQ) are currently being tested in several clinical studies as potential candidates to limit SARS-CoV-2-mediated morbidity and mortality.	-0.12091752290725707
32359203	A Rapid Systematic Review of Clinical Trials Utilizing Chloroquine and Hydroxychloroquine as a Treatment for COVID-19.	0.10417402982711792
32336586	There are currently no therapeutic drugs available that are directly active against SARS-CoV-2; however, several antivirals (remdesivir, favipiravir) and antimalarials (chloroquine, hydroxychloroquine) have emerged as potential therapies.	-0.07226006310780841
32430286	The possible mechanisms of action of 4-aminoquinolines (chloroquine/hydroxychloroquine) against Sars-Cov-2 infection (COVID-19): A role for iron homeostasis?	-0.11338311493396759
32297988	Virological and clinical cure in COVID-19 patients treated with hydroxychloroquine: A systematic review and meta-analysis.	0.14986028373241425
32297988	Following the demonstration of the efficacy of hydroxychloroquine against severe acute respiratory syndrome coronavirus 2 in vitro, many trials started to evaluate its efficacy in clinical settings.	0.1785597008784612
32297988	However, no systematic review and meta-analysis have addressed the issue of the safety and efficacy of hydroxychloroquine (HCQ) in coronavirus disease 2019.	-0.08064538228034973
32362345	This commentary discerns the characteristics of demoralization versus depression, and suggests solutions for both, together with a cautionary word on the use chloroquine and hydroxychloroquine in patients with COVID-19.	-0.04855070399284364
32285930	Optimizing Hydroxychloroquine Dosing for Patients With COVID-19: An Integrative Modeling Approach for Effective Drug Repurposing.	0.7139038987112045
